화재	전기적 요인	발화	2019년 8월 30일 금요일 23시 47분경 충청북도 충주시에 위치한 접착제 원료 등 생산공장에서 <e1>전기적 요인</e1>에 의한 <e2>발화</e2>로 추정되는 화재가 발생하였다.
화재	전기적 요인	화재가 발생	2019년 8월 30일 금요일 23시 47분경 충청북도 충주시에 위치한 접착제 원료 등 생산공장에서 <e1>전기적 요인</e1>에 의한 발화로 추정되는 <e2>화재가 발생</e2>하였다.
화재	전기적 요인	발화	￭  발화원인 : <e1>전기적 요인</e1>에 의한 <e2>발화</e2>추정
폭발	가스누출	폭발	- NCC 공장동의 압축공정 내 압축기(3단) 하부의 벨로우즈가 파손된 상태임을 확인된바에 따라 압축기에서 <e1>가스누출</e1> 후 <e2>폭발</e2>한 것으로 추정됨
폭발	가스누출	폭발	화재발생 및 폭발 당시 압축기 3단 배관에서 <e1>가스누출</e1> 감지기 작동 후 <e2>폭발</e2>
폭발	용접불티	가연성혼합기(가연성 가스 및 분진 등)가 폭발	용접작업을  하던 중 발생한  <e1>용접불티</e1>에 의해 저장고에  잔존하는 <e2>가연성혼합기(가연성 가스 및 분진 등)가 폭발</e2>한 것으로 추정함.
폭발	용접  불티	가연성혼합기(분진등)가 폭발	-  사고가  발생한  저장고(SILO)는  고밀도폴리에틸렌의  중간제품인  FULFFF(분말상태)를 저장하는 저장고이며, 저장고(SILO)의 내부검사를 위해 맨홀을 뚫고, 그라인드 작업을 한 후, 보강판을 설치하기 위해 용접작업을 하던  중  발생한  <e1>용접  불티</e1>에  의해  저장고에  잔존하는  <e2>가연성혼합기(분진등)가 폭발</e2>한 것으로 추정됨.
화재	페트병  속의  휘발유	화재가 발생	사고당일 반월당역을 출발한 전동차(1079호)가 9시 52분 경 중앙로역에 들어설 무렵,  6량의객차 중 2호 객차 안에서 정신질환자인 김모씨(57,  무직)가 휘발유가 든 페트병에 라이터로불을  붙이려  하였고,  주변의  승객  서너  명과  승강이를  하던  중  <e1>페트병  속의  휘발유</e1>에불이 붙자 김모씨가 이 불 붙은 페트병을 집어던짐으로써 휘발유가 주변으로 튀고 쏟아져삽시간에 큰 불길로 번지는 <e2>화재가 발생</e2>하였음.
화재	불 붙은 페트병	화재가 발생	사고당일 반월당역을 출발한 전동차(1079호)가 9시 52분 경 중앙로역에 들어설 무렵,  6량의객차 중 2호 객차 안에서 정신질환자인 김모씨(57,  무직)가 휘발유가 든 페트병에 라이터로불을  붙이려  하였고,  주변의  승객  서너  명과  승강이를  하던  중  페트병  속의  휘발유에불이 붙자 김모씨가 이 <e1>불 붙은 페트병</e1>을 집어던짐으로써 휘발유가 주변으로 튀고 쏟아져삽시간에 큰 불길로 번지는 <e2>화재가 발생</e2>하였음.
화재	휘발유	화재가 발생	사고당일 반월당역을 출발한 전동차(1079호)가 9시 52분 경 중앙로역에 들어설 무렵,  6량의객차 중 2호 객차 안에서 정신질환자인 김모씨(57,  무직)가 휘발유가 든 페트병에 라이터로불을  붙이려  하였고,  주변의  승객  서너  명과  승강이를  하던  중  페트병  속의  휘발유에불이 붙자 김모씨가 이 불 붙은 페트병을 집어던짐으로써 <e1>휘발유</e1>가 주변으로 튀고 쏟아져삽시간에 큰 불길로 번지는 <e2>화재가 발생</e2>하였음.
화재	실화	화재가  발생	2017년 12월 21일 목요일 오후 충청북도 제천시에 위치한 스포츠센터에서  <e1>실화</e1>로  추정되는  <e2>화재가  발생</e2>하였다.
화재	불붙은 스티로폼	발화	3) “제천 화재 1층 천장 <e1>불붙은 스티로폼</e1> 차량에 떨어져 <e2>발화</e2>”, 연합뉴스, 2017년 12월 22일
화재	전기합선	화재가 발생	2018년 1월 28일 금요일 오전 7시 32분경 경상남도 밀양시에 위치한 병원에서 <e1>전기합선</e1>으로 추정되는 <e2>화재가 발생</e2>하였다.
화재	전기적	발화	화재는 본관동 1층 응급실 내 탕비실 천장에서 최초 <e2>발화</e2>되었으며, 화재원인은 <e1>전기적</e1>인원인으로 추정된다.
화재	전기난로	화재가발생	2018년 11월 19일 월요일 오전 4시 48분경 서울특별시 종로구에 위치한 고시원에서 <e1>전기난로</e1> 사용 부주의로 추정되는 <e2>화재가발생</e2>하였다.
화재	전기적	화재가 발생	2018년 8월 21일 화요일 오후 3시 43분경 인천광역시 남동구에위치한 전자공장에서 <e1>전기적</e1>인 원인으로 추정되는 <e2>화재가 발생</e2>하였다.
화재	전기적 요인	발화	○  <e1>전기적 요인</e1>이 <e2>발화</e2>원인으로 추정됨
화재	배터리 열폭주	사고가 발생	2019년 1월 21일 월요일 오전 9시 26분경 울산광역시 남구에 위치한 ESS가 설치된 공장에서 <e1>배터리 열폭주</e1>로 추정되는 <e2>사고가 발생</e2>하였다.
화재	정전기 화재	사고가 발생	2019년 1월 10일 목요일 오전 5시 53분경 경상북도 성주에 위치한 스티로폼 공장에서 <e1>정전기 화재</e1>로 추정되는 <e2>사고가 발생</e2>하였다.
화재	스티로폼 간 마찰	스티로폼에 착화	○ 지게차로 생산품(스티로폼)을 이송 중에 지게차에 적재된 <e1>스티로폼 간 마찰</e1>로 발생된 정전기에 스티로폼 주변에 잔류하고 있던 가연성 가스 및 <e2>스티로폼에 착화</e2>·발화된 것으로 추정됨
화재	정전기	스티로폼에 착화	○ 지게차로 생산품(스티로폼)을 이송 중에 지게차에 적재된 스티로폼 간 마찰로 발생된 <e1>정전기</e1>에 스티로폼 주변에 잔류하고 있던 가연성 가스 및 <e2>스티로폼에 착화</e2>·발화된 것으로 추정됨
화재	가연성 가스	스티로폼에 착화	○ 지게차로 생산품(스티로폼)을 이송 중에 지게차에 적재된 스티로폼 간 마찰로 발생된 정전기에 스티로폼 주변에 잔류하고 있던 <e1>가연성 가스</e1> 및 <e2>스티로폼에 착화</e2>·발화된 것으로 추정됨
화재	스티로폼 간 마찰	발화	○ 지게차로 생산품(스티로폼)을 이송 중에 지게차에 적재된 <e1>스티로폼 간 마찰</e1>로 발생된 정전기에 스티로폼 주변에 잔류하고 있던 가연성 가스 및 스티로폼에 착화·<e2>발화</e2>된 것으로 추정됨
화재	정전기	발화	○ 지게차로 생산품(스티로폼)을 이송 중에 지게차에 적재된 스티로폼 간 마찰로 발생된 <e1>정전기</e1>에 스티로폼 주변에 잔류하고 있던 가연성 가스 및 스티로폼에 착화·<e2>발화</e2>된 것으로 추정됨
화재	가연성 가스	발화	○ 지게차로 생산품(스티로폼)을 이송 중에 지게차에 적재된 스티로폼 간 마찰로 발생된 정전기에 스티로폼 주변에 잔류하고 있던 <e1>가연성 가스</e1> 및 스티로폼에 착화·<e2>발화</e2>된 것으로 추정됨
화재	자연발화원	제품박스 등에 착화	화재가 발생한 공장은 전자부품 생산공장이며, 구내에 협력업체로 입주해 있던 리튬건전지생산공장인 T사의 건전지 제품창고에서 <e1>자연발화원</e1>이 점화원이 되어 <e2>제품박스 등에 착화</e2>되어화재가 발생한 것으로 추정되었다.
화재	자연발화원	화재가 발생	화재가 발생한 공장은 전자부품 생산공장이며, 구내에 협력업체로 입주해 있던 리튬건전지생산공장인 T사의 건전지 제품창고에서 <e1>자연발화원</e1>이 점화원이 되어 제품박스 등에 착화되어<e2>화재가 발생</e2>한 것으로 추정되었다.
화재	절연체 약화	자연발화	이번 화재의 경우, 분전반과 내부 전열시설 자체에는 전기적 발열흔적 등 특이점이 없었으므로 전지 자체의 <e1>절연체 약화</e1>로 인한 <e2>자연발화</e2>로 급속한 연소가 일어난 것으로 추정되었다.
폭발	분말을 혼합	폭발이 발생	1999년 9월 18일 토요일 오전 10시 30분 경, S대학교 원자핵공학과실험실에서 플라즈마를 이용한 암반파쇄 실험을 위한 실험재료 제작 중알루미늄 분말과 산화구리 <e1>분말을 혼합</e1>하는 과정에서 원인을 알 수 없는<e2>폭발이 발생</e2>하여 3명이 사망하고 1명이 중상을 입었다.
